Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
340.5,145.1,76.72,4.86,140.24,71.86,0.290385,0.290385
341,145.8,77.16,5,140.8,72.16,0.290306,0.290306
341.5,146.14,76.8,4.86,141.28,71.94,0.29311,0.29311
342,146.72,76.9,4.9,141.82,72,0.294405,0.294405
342.6,146.44,76.64,4.54,141.9,72.1,0.294047,0.294047
343.1,147.3,77.1,4.7,142.6,72.4,0.294381,0.294381
343.6,147.52,77.14,4.7,142.82,72.44,0.294811,0.294811
344.2,147.64,77.46,4.76,142.88,72.7,0.293437,0.293437
344.7,147.78,77.06,4.16,143.62,72.9,0.294487,0.294487
345.2,148.76,77.9,4.56,144.2,73.34,0.293624,0.293624
345.7,149.54,78.18,4.74,144.8,73.44,0.294836,0.294836
346.3,149.46,77.98,4.82,144.64,73.16,0.296015,0.296015
346.8,149.28,77.62,4.4,144.88,73.22,0.296379,0.296379
347.3,149.82,78.18,4.64,145.18,73.54,0.295383,0.295383
347.8,150.62,78.74,4.9,145.72,73.84,0.295227,0.295227
348.4,150.76,78.78,4.9,145.86,73.88,0.295409,0.295409
348.9,150.88,78.56,4.68,146.2,73.88,0.29642,0.29642
349.4,151.74,79.04,4.86,146.88,74.18,0.296676,0.296676
350,152.26,79.48,4.98,147.28,74.5,0.295988,0.295988
350.5,152.78,79.54,5.14,147.64,74.4,0.297631,0.297631
351,152.62,79,4.76,147.86,74.24,0.299213,0.299213
351.5,153.38,79.4,4.9,148.48,74.5,0.299512,0.299512
352.1,153.98,79.7,5.1,148.88,74.6,0.300098,0.300098
352.6,153.86,79.46,5,148.86,74.46,0.300855,0.300855
353.1,154.14,79.22,4.66,149.48,74.56,0.302077,0.302077
353.6,154.88,79.64,4.82,150.06,74.82,0.302247,0.302247
354.2,154.8,79.46,4.7,150.1,74.76,0.302711,0.302711
354.7,154.9,79.5,4.56,150.34,74.94,0.302361,0.302361
355.2,154.58,79,4.04,150.54,74.96,0.302822,0.302822
355.7,155.64,79.74,4.48,151.16,75.26,0.302873,0.302873
356.3,156.02,79.9,4.68,151.34,75.22,0.30362,0.30362
356.8,155.92,79.72,4.66,151.26,75.06,0.304316,0.304316
357.3,155.7,79.32,4.32,151.38,75,0.305007,0.305007
357.9,156.72,79.9,4.62,152.1,75.28,0.30545,0.30545
358.4,156.88,79.98,4.66,152.22,75.32,0.305561,0.305561
358.9,156.76,79.98,4.62,152.14,75.36,0.305103,0.305103
359.4,156.36,79.66,4.28,152.08,75.38,0.304816,0.304816
360,157.16,79.88,4.46,152.7,75.42,0.306353,0.306353
360.5,157.42,79.96,4.42,153,75.54,0.306514,0.306514
361,157.72,80.06,4.5,153.22,75.56,0.307024,0.307024
361.5,157.52,79.82,4.16,153.36,75.66,0.306846,0.306846
362.1,158.06,80.12,4.42,153.64,75.7,0.307408,0.307408
362.6,158.08,80.34,4.42,153.66,75.92,0.306205,0.306205
363.1,158.18,80.48,4.56,153.62,75.92,0.306092,0.306092
363.7,158,79.9,4.18,153.82,75.72,0.307802,0.307802
364.2,158.48,80.24,4.42,154.06,75.82,0.307906,0.307906
364.7,158.36,80.18,4.38,153.98,75.8,0.307795,0.307795
365.2,158.34,79.92,4.44,153.9,75.48,0.309407,0.309407
365.8,158.42,79.34,4,154.42,75.34,0.311678,0.311678
366.3,159.32,80,4.36,154.96,75.64,0.311468,0.311468
366.8,159.42,79.92,4.28,155.14,75.64,0.311972,0.311972
