Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
340.5,145.1,71.34,4.86,140.24,66.48,0.324181,0.324181
341,145.8,72.06,5,140.8,67.06,0.322139,0.322139
341.5,146.14,72.02,4.86,141.28,67.16,0.32297,0.32297
342,146.72,72,4.9,141.82,67.1,0.325015,0.325015
342.6,146.44,71.58,4.54,141.9,67.04,0.325648,0.325648
343.1,147.3,72.18,4.7,142.6,67.48,0.324944,0.324944
343.6,147.52,71.96,4.7,142.82,67.26,0.327032,0.327032
344.2,147.64,71.9,4.76,142.88,67.14,0.32799,0.32799
344.7,147.78,71.62,4.16,143.62,67.46,0.328169,0.328169
345.2,148.76,72.58,4.56,144.2,68.02,0.326329,0.326329
345.7,149.54,72.84,4.74,144.8,68.1,0.327621,0.327621
346.3,149.46,72.54,4.82,144.64,67.72,0.329571,0.329571
346.8,149.28,71.86,4.4,144.88,67.46,0.331962,0.331962
347.3,149.82,72.48,4.64,145.18,67.84,0.330421,0.330421
347.8,150.62,73.1,4.9,145.72,68.2,0.329735,0.329735
348.4,150.76,73.18,4.9,145.86,68.28,0.329643,0.329643
348.9,150.88,73.02,4.68,146.2,68.34,0.330272,0.330272
349.4,151.74,73.64,4.86,146.88,68.78,0.3295,0.3295
350,152.26,73.84,4.98,147.28,68.86,0.330177,0.330177
350.5,152.78,74.08,5.14,147.64,68.94,0.330733,0.330733
351,152.62,73.4,4.76,147.86,68.64,0.333273,0.333273
351.5,153.38,73.9,4.9,148.48,69,0.332819,0.332819
352.1,153.98,74.38,5.1,148.88,69.28,0.332228,0.332228
352.6,153.86,74.32,5,148.86,69.32,0.331919,0.331919
353.1,154.14,73.82,4.66,149.48,69.16,0.334728,0.334728
353.6,154.88,74.02,4.82,150.06,69.2,0.336159,0.336159
354.2,154.8,74.22,4.7,150.1,69.52,0.334271,0.334271
354.7,154.9,74.18,4.56,150.34,69.62,0.334341,0.334341
355.2,154.58,73.66,4.04,150.54,69.62,0.334918,0.334918
355.7,155.64,74.42,4.48,151.16,69.94,0.334711,0.334711
356.3,156.02,74.72,4.68,151.34,70.04,0.334608,0.334608
356.8,155.92,74.4,4.66,151.26,69.74,0.336242,0.336242
357.3,155.7,73.88,4.32,151.38,69.56,0.337709,0.337709
357.9,156.72,74.36,4.62,152.1,69.74,0.338647,0.338647
358.4,156.88,74.52,4.66,152.22,69.86,0.338243,0.338243
358.9,156.76,74.44,4.62,152.14,69.82,0.338264,0.338264
359.4,156.36,74.14,4.28,152.08,69.86,0.337844,0.337844
360,157.16,74.72,4.46,152.7,70.26,0.337131,0.337131
360.5,157.42,74.72,4.42,153,70.3,0.337736,0.337736
361,157.72,74.92,4.5,153.22,70.42,0.337619,0.337619
361.5,157.52,74.02,4.16,153.36,69.86,0.341484,0.341484
362.1,158.06,74.6,4.42,153.64,70.18,0.340291,0.340291
