Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
340.5,145.1,108.62,4.86,140.24,103.76,0.130842,0.130842
341,145.8,109.38,5,140.8,104.38,0.129985,0.129985
341.5,146.14,109.64,4.86,141.28,104.78,0.129802,0.129802
342,146.72,109.72,4.9,141.82,104.82,0.131293,0.131293
342.6,146.44,109.08,4.54,141.9,104.54,0.1327,0.1327
343.1,147.3,110.22,4.7,142.6,105.52,0.130785,0.130785
343.6,147.52,110.32,4.7,142.82,105.62,0.131043,0.131043
344.2,147.64,110.16,4.76,142.88,105.4,0.132131,0.132131
344.7,147.78,110.12,4.16,143.62,105.96,0.132073,0.132073
345.2,148.76,111.34,4.56,144.2,106.78,0.130475,0.130475
345.7,149.54,111.66,4.74,144.8,106.92,0.13171,0.13171
346.3,149.46,111.64,4.82,144.64,106.82,0.131636,0.131636
346.8,149.28,111.12,4.4,144.88,106.72,0.132763,0.132763
347.3,149.82,111.88,4.64,145.18,107.24,0.13155,0.13155
347.8,150.62,112.2,4.9,145.72,107.3,0.132919,0.132919
348.4,150.76,112.18,4.9,145.86,107.28,0.133417,0.133417
348.9,150.88,112.06,4.68,146.2,107.38,0.134024,0.134024
349.4,151.74,113.4,4.86,146.88,108.54,0.131373,0.131373
350,152.26,113.5,4.98,147.28,108.52,0.132634,0.132634
350.5,152.78,113.46,5.14,147.64,108.32,0.134495,0.134495
351,152.62,113.32,4.76,147.86,108.56,0.134181,0.134181
351.5,153.38,114.04,4.9,148.48,109.14,0.133684,0.133684
352.1,153.98,114.42,5.1,148.88,109.32,0.134137,0.134137
352.6,153.86,114.36,5,148.86,109.36,0.13392,0.13392
353.1,154.14,113.92,4.66,149.48,109.26,0.136122,0.136122
353.6,154.88,114.88,4.82,150.06,110.06,0.134635,0.134635
354.2,154.8,114.86,4.7,150.1,110.16,0.134357,0.134357
354.7,154.9,114.96,4.56,150.34,110.4,0.134105,0.134105
355.2,154.58,114.96,4.04,150.54,110.92,0.132642,0.132642
355.7,155.64,115.76,4.48,151.16,111.28,0.13302,0.13302
356.3,156.02,116.12,4.68,151.34,111.44,0.132913,0.132913
356.8,155.92,116.02,4.66,151.26,111.36,0.132995,0.132995
357.3,155.7,115.4,4.32,151.38,111.08,0.134433,0.134433
357.9,156.72,115.82,4.62,152.1,111.2,0.136024,0.136024
358.4,156.88,116.04,4.66,152.22,111.38,0.135665,0.135665
358.9,156.76,116.12,4.62,152.14,111.5,0.134969,0.134969
359.4,156.36,115.9,4.28,152.08,111.62,0.13433,0.13433
360,157.16,116.08,4.46,152.7,111.62,0.136097,0.136097
360.5,157.42,116.3,4.42,153,111.88,0.135939,0.135939
361,157.72,116.26,4.5,153.22,111.76,0.137029,0.137029
361.5,157.52,115.88,4.16,153.36,111.72,0.137581,0.137581
362.1,158.06,116.84,4.42,153.64,112.42,0.135661,0.135661
362.6,158.08,117.06,4.42,153.66,112.64,0.134868,0.134868
363.1,158.18,117.16,4.56,153.62,112.6,0.134909,0.134909
363.7,158,116.58,4.18,153.82,112.4,0.136246,0.136246
364.2,158.48,117.34,4.42,154.06,112.92,0.134919,0.134919
364.7,158.36,117.18,4.38,153.98,112.8,0.135155,0.135155
365.2,158.34,116.7,4.44,153.9,112.26,0.137014,0.137014
365.8,158.42,115.68,4,154.42,111.68,0.140728,0.140728
366.3,159.32,116.52,4.36,154.96,112.16,0.140382,0.140382
366.8,159.42,116.82,4.28,155.14,112.54,0.139417,0.139417
367.3,159.04,116.1,4.58,154.46,111.52,0.141463,0.141463
367.9,158.72,115.48,4.2,154.52,111.28,0.142568,0.142568
368.4,159.44,116.06,4.3,155.14,111.76,0.142437,0.142437
368.9,159.82,116.18,4.5,155.32,111.68,0.143252,0.143252
369.5,159.54,115.7,4.7,154.84,111,0.14456,0.14456
370,159.12,115.24,4.44,154.68,110.8,0.144894,0.144894
370.5,159.92,115.2,4.58,155.34,110.62,0.14745,0.14745
371,159.78,115.08,4.64,155.14,110.44,0.147597,0.147597
371.6,159.5,114.86,4.56,154.94,110.3,0.147588,0.147588
372.1,159.28,114.36,4.32,154.96,110.04,0.148669,0.148669
372.6,159.84,114.2,4.44,155.4,109.76,0.151007,0.151007
373.1,160.04,114.34,4.8,155.24,109.54,0.151431,0.151431
373.7,159.7,114.1,4.82,154.88,109.28,0.151455,0.151455
374.2,159.22,112.98,4.32,154.9,108.66,0.153982,0.153982
374.7,159.9,112.94,4.4,155.5,108.54,0.156141,0.156141
375.3,160.16,113.04,4.52,155.64,108.52,0.156611,0.156611
375.8,159.76,112.66,4.64,155.12,108.02,0.157164,0.157164
376.3,159.46,112.26,4.48,154.98,107.78,0.157737,0.157737
376.8,160.32,112.44,4.72,155.6,107.72,0.159713,0.159713
377.4,160.9,112.2,4.96,155.94,107.24,0.162601,0.162601
377.9,160.16,111.54,4.9,155.26,106.64,0.163139,0.163139
378.4,159.8,110.92,4.5,155.3,106.42,0.164148,0.164148
378.9,160.38,111.48,4.72,155.66,106.76,0.163768,0.163768
379.5,160.72,111.46,4.66,156.06,106.8,0.16472,0.16472
380,160.44,110.62,4.56,155.88,106.06,0.167239,0.167239
380.5,159.56,109.42,4.16,155.4,105.26,0.169188,0.169188
381.1,160,109.78,4.36,155.64,105.42,0.169198,0.169198
381.6,160.06,109.26,4.18,155.88,105.08,0.17127,0.17127
382.1,159.7,108.62,4.24,155.46,104.38,0.173001,0.173001
382.6,159.28,107.64,3.9,155.38,103.74,0.175449,0.175449
383.2,159.74,107.76,4.1,155.64,103.66,0.17651,0.17651
383.7,159.92,107.68,4.1,155.82,103.58,0.177347,0.177347
384.2,159.58,107.14,4.26,155.32,102.88,0.178896,0.178896
384.7,158.92,106.06,4.02,154.9,102.04,0.181281,0.181281
385.3,159.22,106.24,4.24,154.98,102,0.181675,0.181675
385.8,159.1,105.82,4.38,154.72,101.44,0.183337,0.183337
386.3,158.58,105.28,4.44,154.14,100.84,0.184283,0.184283
386.9,158.1,104.58,4.3,153.8,100.28,0.185742,0.185742
387.4,158.7,104.88,4.46,154.24,100.42,0.186377,0.186377
387.9,158.7,104.16,4.36,154.34,99.8,0.189348,0.189348
388.4,158.06,103.5,4.38,153.68,99.12,0.190456,0.190456
389,157.36,102.94,4.06,153.3,98.88,0.190434,0.190434
389.5,157.74,103.04,4.22,153.52,98.82,0.19132,0.19132
390,157.54,102.78,4.26,153.28,98.52,0.191961,0.191961
390.5,156.82,101.94,4.34,152.48,97.6,0.193763,0.193763
391.1,156.48,101.42,4.26,152.22,97.16,0.194984,0.194984
391.6,157.14,101.56,4.4,152.74,97.16,0.196465,0.196465
392.1,157.14,101.62,4.32,152.82,97.3,0.196067,0.196067
392.7,156.66,100.94,4.44,152.22,96.5,0.197944,0.197944
393.2,156.02,99.88,4.12,151.9,95.76,0.200374,0.200374
393.7,156.2,99.6,4.3,151.9,95.3,0.202465,0.202465
394.2,156.24,99.7,4.26,151.98,95.44,0.202056,0.202056
394.8,155.82,98.98,4.28,151.54,94.7,0.204177,0.204177
395.3,155.5,98.06,3.96,151.54,94.1,0.206938,0.206938
395.8,156.46,98.54,4.26,152.2,94.28,0.207995,0.207995
396.3,156.3,98.14,4.24,152.06,93.9,0.209349,0.209349
396.9,155.74,97.28,4.22,151.52,93.06,0.211707,0.211707
397.4,155.42,96.18,4.08,151.34,92.1,0.215694,0.215694
397.9,155.92,96.16,4.14,151.78,92.02,0.217332,0.217332
398.5,156.48,96.36,4.28,152.2,92.08,0.218249,0.218249
399,156.58,95.78,4.32,152.26,91.46,0.221355,0.221355
399.5,156.66,94.62,4.1,152.56,90.52,0.226696,0.226696
400,157.3,94.54,4.2,153.1,90.34,0.229095,0.229095
400.6,157.84,94.22,4.36,153.48,89.86,0.232485,0.232485
401.1,157.9,93.54,4.38,153.52,89.16,0.235995,0.235995
401.6,158.16,92.74,4.14,154.02,88.6,0.240143,0.240143
402.1,159.44,92.8,4.28,155.16,88.52,0.243738,0.243738
402.7,160.32,92.3,4.12,156.2,88.18,0.248311,0.248311
403.2,160.72,91.84,4.18,156.54,87.66,0.251824,0.251824
403.7,160.98,90.58,3.78,157.2,86.8,0.257933,0.257933
404.3,162.7,90.76,4,158.7,86.76,0.262257,0.262257
404.8,163.92,90.36,3.94,159.98,86.42,0.267451,0.267451
405.3,164.72,89.52,3.92,160.8,85.6,0.273812,0.273812
405.8,165.32,88.36,3.62,161.7,84.74,0.280622,0.280622
406.4,167.22,88.36,3.88,163.34,84.48,0.286339,0.286339
406.9,168.98,88.14,3.8,165.18,84.34,0.291924,0.291924
407.4,170.3,88.08,3.98,166.32,84.1,0.296148,0.296148
407.9,171.3,87.18,3.78,167.52,83.4,0.302901,0.302901
408.5,173.52,87.34,3.94,169.58,83.4,0.308209,0.308209
409,175.28,87.42,4,171.28,83.42,0.312436,0.312436
409.5,176.68,86.9,4.14,172.54,82.76,0.319069,0.319069
410,177.74,85.94,4.06,173.68,81.88,0.326572,0.326572
410.6,180.18,86.22,4.2,175.98,82.02,0.331544,0.331544
411.1,181.96,86.28,4.36,177.6,81.92,0.336053,0.336053
411.6,183.02,85.82,4.42,178.6,81.4,0.341257,0.341257
412.2,183.78,84.82,4.14,179.64,80.68,0.347637,0.347637
412.7,185.7,84.68,4.3,181.4,80.38,0.353489,0.353489
413.2,187.18,84.36,4.22,182.96,80.14,0.358507,0.358507
413.7,188,84.22,4.32,183.68,79.9,0.361515,0.361515
414.3,188.66,83.56,3.98,184.68,79.58,0.365616,0.365616
414.8,190.5,84.04,4.2,186.3,79.84,0.367992,0.367992
415.3,191.3,83.82,4.08,187.22,79.74,0.370676,0.370676
415.8,191.68,83.3,3.94,187.74,79.36,0.373955,0.373955
416.4,191.86,82.2,3.8,188.06,78.4,0.37998,0.37998
416.9,192.86,82.06,3.82,189.04,78.24,0.383125,0.383125
417.4,193.38,81.98,3.6,189.78,78.38,0.384045,0.384045
418,193.72,82.12,3.8,189.92,78.32,0.384698,0.384698
418.5,193.62,81.4,3.4,190.22,78,0.387162,0.387162
419,194.4,81.24,3.58,190.82,77.66,0.390427,0.390427
419.5,194.46,80.82,3.44,191.02,77.38,0.39245,0.39245
420.1,194.42,80.58,3.52,190.9,77.06,0.393977,0.393977
420.6,194.2,79.68,3.2,191,76.48,0.397485,0.397485
421.1,195.28,79.86,3.5,191.78,76.36,0.399937,0.399937
421.6,195.32,79.76,3.34,191.98,76.42,0.400049,0.400049
422.2,195.2,79.42,3.4,191.8,76.02,0.401921,0.401921
422.7,195.12,78.76,3.44,191.68,75.32,0.405666,0.405666
423.2,195.88,79.24,3.6,192.28,75.64,0.405183,0.405183
423.8,196.08,79.06,3.66,192.42,75.4,0.406879,0.406879
424.3,195.66,78.42,3.66,192,74.76,0.409632,0.409632
424.8,195.18,78.04,3.4,191.78,74.64,0.409832,0.409832
425.3,196.12,78.78,3.62,192.5,75.16,0.408444,0.408444
425.9,196.78,78.68,3.68,193.1,75,0.410721,0.410721
