Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
707.4,652.4,547.88,4.24,648.16,543.64,0.0763708,0.0763708
707.9,652.76,547.84,3.98,648.78,543.86,0.0766103,0.0766103
708.4,652.9,547.76,4.34,648.56,543.42,0.0768145,0.0768145
709,653,547.64,4.46,648.54,543.18,0.076993,0.076993
709.5,652.92,547.62,4.46,648.46,543.16,0.0769554,0.0769554
710,653.3,547.6,4.42,648.88,543.18,0.0772206,0.0772206
710.5,653.36,547.44,4.6,648.76,542.84,0.0774122,0.0774122
711.1,653.18,547.12,4.34,648.84,542.78,0.0775138,0.0775138
711.6,653.26,546.88,4.14,649.12,542.74,0.0777332,0.0777332
712.1,653.72,547.34,4.36,649.36,542.98,0.0777017,0.0777017
712.7,653.86,547.34,4.32,649.54,543.02,0.0777901,0.0777901
713.2,653.7,547.16,4.06,649.64,543.1,0.077793,0.077793
713.7,653.52,546.86,3.56,649.96,543.3,0.0778469,0.0778469
714.2,654.02,547.22,3.36,650.66,543.86,0.077867,0.077867
714.8,654.2,547.12,3.62,650.58,543.5,0.0781012,0.0781012
715.3,654.48,547.04,3.62,650.86,543.42,0.078352,0.078352
715.8,654.78,546.92,3.5,651.28,543.42,0.0786321,0.0786321
716.3,655.54,547.3,3.58,651.96,543.72,0.0788456,0.0788456
716.9,655.8,547.52,3.88,651.92,543.64,0.0788829,0.0788829
717.4,656.1,547.58,3.94,652.16,543.64,0.0790428,0.0790428
717.9,656.64,547.88,3.96,652.68,543.92,0.0791653,0.0791653
718.5,657.22,548.34,3.78,653.44,544.56,0.07916,0.07916
719,657.62,548.38,4.06,653.56,544.32,0.0794312,0.0794312
719.5,657.9,548.34,4.04,653.86,544.3,0.0796464,0.0796464
720,658.62,548.92,3.86,654.76,545.06,0.0796378,0.0796378
720.6,659.84,549.58,3.98,655.86,545.6,0.0799368,0.0799368
721.1,660.56,549.88,4.02,656.54,545.86,0.0801799,0.0801799
721.6,661.28,550.2,3.98,657.3,546.22,0.080396,0.080396
722.1,662,550.94,3.8,658.2,547.14,0.0802594,0.0802594
722.7,663.22,551.9,3.78,659.44,548.12,0.0802996,0.0802996
723.2,664.14,552.4,4.06,660.08,548.34,0.0805466,0.0805466
723.7,664.8,552.74,4.12,660.68,548.62,0.0807195,0.0807195
724.2,665.82,553.18,3.8,662.02,549.38,0.0809983,0.0809983
724.8,667.28,554.4,3.76,663.52,550.64,0.0809863,0.0809863
725.3,668.26,554.92,4.08,664.18,550.84,0.0812603,0.0812603
725.8,668.92,555.08,4.08,664.84,551,0.0815655,0.0815655
726.4,669.76,555.62,4.08,665.68,551.54,0.0816885,0.0816885
726.9,670.52,556.08,4.06,666.46,552.02,0.0818193,0.0818193
727.4,670.6,556.08,4.04,666.56,552.04,0.0818687,0.0818687
727.9,670.14,555.6,3.9,666.24,551.7,0.0819277,0.0819277
728.5,670.3,555.5,3.7,666.6,551.8,0.0820836,0.0820836
729,670.88,555.7,3.8,667.08,551.9,0.0823175,0.0823175
729.5,670.78,555.32,4.02,666.76,551.3,0.0825815,0.0825815
730,670.28,554.78,3.9,666.38,550.88,0.0826649,0.0826649
730.6,670.3,554.76,4.06,666.24,550.7,0.0827156,0.0827156
731.1,670.94,555.02,4.2,666.74,550.82,0.0829468,0.0829468
731.6,670.92,554.52,4.58,666.34,549.94,0.0833806,0.0833806
732.2,670.32,554.02,4.4,665.92,549.62,0.0833595,0.0833595
732.7,670.36,554,4.26,666.1,549.74,0.0833821,0.0833821
733.2,670.8,553.96,4.24,666.56,549.72,0.0836977,0.0836977
733.7,670.7,553.42,4.5,666.2,548.92,0.0840956,0.0840956
734.3,670.48,553.08,4.28,666.2,548.8,0.0841905,0.0841905
734.8,670.48,552.9,4.2,666.28,548.7,0.0843218,0.0843218
735.3,670.76,553,4.22,666.54,548.78,0.0844279,0.0844279
735.8,670.54,552.74,4.4,666.14,548.34,0.0845156,0.0845156
736.4,670.02,552.04,4.18,665.84,547.86,0.0847003,0.0847003
736.9,669.84,551.82,4,665.84,547.82,0.084732,0.084732
737.4,670.22,551.68,4.12,666.1,547.56,0.0851077,0.0851077
738,669.94,551.1,4.42,665.52,546.68,0.0854279,0.0854279
738.5,669.04,550.28,4.3,664.74,545.98,0.0854751,0.0854751
739,668.68,549.64,4.06,664.62,545.58,0.085715,0.085715
739.5,668.76,549.5,4.04,664.72,545.46,0.0858758,0.0858758
740.1,668.24,549.08,4.22,664.02,544.86,0.0858962,0.0858962
740.6,667.64,548.54,3.96,663.68,544.58,0.085897,0.085897
741.1,667.44,547.98,3.8,663.64,544.18,0.08619,0.08619
741.6,667.4,547.66,3.74,663.66,543.92,0.0864106,0.0864106
742.2,666.9,547.1,3.96,662.94,543.14,0.0865624,0.0865624
742.7,666.22,546.34,3.98,662.24,542.36,0.0867278,0.0867278
743.2,665.98,545.8,3.84,662.14,541.96,0.0869826,0.0869826
743.8,665.88,545.34,3.7,662.18,541.64,0.0872653,0.0872653
744.3,665.2,544.64,3.92,661.28,540.72,0.087413,0.087413
744.8,664.38,543.8,3.88,660.5,539.92,0.0875434,0.0875434
745.3,663.56,542.94,3.9,659.66,539.04,0.0876992,0.0876992
745.9,663.34,542.44,3.92,659.42,538.52,0.0879603,0.0879603
746.4,662.66,541.7,4.14,658.52,537.56,0.088142,0.088142
746.9,661.56,540.82,4.18,657.38,536.64,0.0881334,0.0881334
747.4,660.64,539.84,4.1,656.54,535.74,0.0883071,0.0883071
748,660.32,538.92,3.86,656.46,535.06,0.0888058,0.0888058
748.5,659.4,537.9,4.14,655.26,533.76,0.0890676,0.0890676
749,658.48,536.58,4.04,654.44,532.54,0.0895176,0.0895176
