Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
764.8,620.5,523.14,4.04,616.46,519.1,0.0746539,0.0746539
765.4,618.92,521.22,4.3,614.62,516.92,0.0751834,0.0751834
765.9,617.08,519.08,4.1,612.98,514.98,0.0756559,0.0756559
766.4,615.7,517.26,4.02,611.68,513.24,0.0762038,0.0762038
767,614.58,515.72,3.96,610.62,511.76,0.0767047,0.0767047
767.5,612.86,513.74,4.26,608.6,509.48,0.0772048,0.0772048
768,611.28,511.54,3.94,607.34,507.6,0.0779103,0.0779103
768.5,609.94,509.72,3.74,606.2,505.98,0.0784826,0.0784826
769.1,608.66,508.22,3.8,604.86,504.42,0.0788626,0.0788626
769.6,606.68,506.06,4.22,602.46,501.84,0.0793629,0.0793629
770.1,604.8,503.62,4.18,600.62,499.44,0.0801165,0.0801165
770.6,603.02,501.8,4.1,598.92,497.7,0.0804012,0.0804012
771.2,601.56,499.78,3.92,597.64,495.86,0.0810806,0.0810806
771.7,599.7,497.46,3.92,595.78,493.54,0.0817636,0.0817636
772.2,598.02,495.24,3.86,594.16,491.38,0.0824859,0.0824859
772.7,596.38,493.28,3.8,592.58,489.48,0.083012,0.083012
773.3,595.16,491.54,3.88,591.28,487.66,0.0836761,0.0836761
773.8,593.54,489.52,4.06,589.48,485.46,0.0843156,0.0843156
774.3,591.84,487.24,4,587.84,483.24,0.0850963,0.0850963
774.9,590.2,485.28,4.02,586.18,481.26,0.0856512,0.0856512
775.4,588.76,483.58,3.98,584.78,479.6,0.0861133,0.0861133
775.9,587.02,481.74,4.34,582.68,477.4,0.0865477,0.0865477
776.4,584.72,479.34,4.06,580.66,475.28,0.0869724,0.0869724
777,582.98,477.18,4.02,578.96,473.16,0.0876405,0.0876405
777.5,581.44,475.6,3.96,577.48,471.64,0.0879263,0.0879263
778,579.86,473.52,4.3,575.56,469.22,0.0887141,0.0887141
778.5,578.02,471.04,4.16,573.86,466.88,0.0896007,0.0896007
779.1,576.22,468.76,3.92,572.3,464.84,0.0903203,0.0903203
779.6,574.72,466.78,3.52,571.2,463.26,0.0909634,0.0909634
780.1,573.12,464.22,3.92,569.2,460.3,0.0922239,0.0922239
780.7,571.1,461.52,4.1,567,457.42,0.0932679,0.0932679
781.2,569.4,459.56,4.02,565.38,455.54,0.0938139,0.0938139
781.7,567.88,457.42,4.12,563.76,453.3,0.0947085,0.0947085
782.2,565.94,455.28,4.4,561.54,450.88,0.0953197,0.0953197
782.8,563.76,452.98,4.26,559.5,448.72,0.0958247,0.0958247
783.3,561.92,450.92,4.14,557.78,446.78,0.0963692,0.0963692
783.8,560.5,449.02,4,556.5,445.02,0.0970856,0.0970856
784.3,558.68,446.56,4.46,554.22,442.1,0.0981617,0.0981617
784.9,556.5,443.98,4.4,552.1,439.58,0.0989798,0.0989798
785.4,554.44,442.08,4.14,550.3,437.94,0.0991849,0.0991849
785.9,552.76,440.28,4.06,548.7,436.22,0.0996294,0.0996294
786.5,550.8,438.06,4.32,546.48,433.74,0.100345,0.100345
787,548.8,435.62,4.08,544.72,431.54,0.101152,0.101152
787.5,547.1,433.64,3.6,543.5,430.04,0.101691,0.101691
788,545.38,432.06,3.48,541.9,428.58,0.101887,0.101887
788.6,543.52,430.1,4.06,539.46,426.04,0.102509,0.102509
789.1,541.58,427.9,4.08,537.5,423.82,0.103197,0.103197
789.6,540.08,425.86,3.92,536.16,421.94,0.104044,0.104044
790.1,538.56,423.88,4.02,534.54,419.86,0.104876,0.104876
790.7,536.7,421.52,4.22,532.48,417.3,0.105855,0.105855
791.2,534.74,419.08,4.12,530.62,414.96,0.106777,0.106777
791.7,532.96,416.92,3.84,529.12,413.08,0.10752,0.10752
792.3,531.38,415.22,3.82,527.56,411.4,0.108008,0.108008
