Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
340.5,145.1,100.46,4.86,140.24,95.6,0.166414,0.166414
341,145.8,100.88,5,140.8,95.88,0.166875,0.166875
341.5,146.14,100.92,4.86,141.28,96.06,0.167538,0.167538
342,146.72,100.72,4.9,141.82,95.82,0.170281,0.170281
342.6,146.44,100.32,4.54,141.9,95.78,0.170708,0.170708
343.1,147.3,101.18,4.7,142.6,96.48,0.169682,0.169682
343.6,147.52,101.34,4.7,142.82,96.64,0.169632,0.169632
344.2,147.64,101.28,4.76,142.88,96.52,0.170354,0.170354
344.7,147.78,101.4,4.16,143.62,97.24,0.16937,0.16937
345.2,148.76,102.06,4.56,144.2,97.5,0.169961,0.169961
345.7,149.54,102.4,4.74,144.8,97.66,0.171052,0.171052
346.3,149.46,102.46,4.82,144.64,97.64,0.170661,0.170661
346.8,149.28,102.04,4.4,144.88,97.64,0.171381,0.171381
347.3,149.82,102.74,4.64,145.18,98.1,0.170238,0.170238
347.8,150.62,103.1,4.9,145.72,98.2,0.171408,0.171408
348.4,150.76,103.4,4.9,145.86,98.5,0.1705,0.1705
348.9,150.88,103.12,4.68,146.2,98.44,0.171776,0.171776
349.4,151.74,104.04,4.86,146.88,99.18,0.170539,0.170539
350,152.26,104.32,4.98,147.28,99.34,0.17102,0.17102
350.5,152.78,104.28,5.14,147.64,99.14,0.172955,0.172955
351,152.62,104.04,4.76,147.86,99.28,0.172989,0.172989
351.5,153.38,104.74,4.9,148.48,99.84,0.172363,0.172363
352.1,153.98,105.08,5.1,148.88,99.98,0.172923,0.172923
352.6,153.86,105.1,5,148.86,100.1,0.172344,0.172344
353.1,154.14,105.04,4.66,149.48,100.38,0.172936,0.172936
353.6,154.88,105.34,4.82,150.06,100.52,0.174012,0.174012
354.2,154.8,105.5,4.7,150.1,100.8,0.17292,0.17292
354.7,154.9,105.5,4.56,150.34,100.94,0.173011,0.173011
355.2,154.58,104.96,4.04,150.54,100.92,0.173675,0.173675
355.7,155.64,105.9,4.48,151.16,101.42,0.173313,0.173313
356.3,156.02,106.02,4.68,151.34,101.34,0.174173,0.174173
356.8,155.92,105.92,4.66,151.26,101.26,0.174286,0.174286
357.3,155.7,105.56,4.32,151.38,101.24,0.174716,0.174716
357.9,156.72,105.92,4.62,152.1,101.3,0.17652,0.17652
358.4,156.88,105.88,4.66,152.22,101.22,0.177205,0.177205
358.9,156.76,105.72,4.62,152.14,101.1,0.177492,0.177492
359.4,156.36,105.52,4.28,152.08,101.24,0.17672,0.17672
360,157.16,106.1,4.46,152.7,101.64,0.176774,0.176774
360.5,157.42,106.22,4.42,153,101.8,0.176944,0.176944
361,157.72,105.9,4.5,153.22,101.4,0.179278,0.179278
361.5,157.52,105.38,4.16,153.36,101.22,0.180446,0.180446
362.1,158.06,106.1,4.42,153.64,101.68,0.179269,0.179269
362.6,158.08,106.38,4.42,153.66,101.96,0.178131,0.178131
363.1,158.18,106,4.56,153.62,101.44,0.180239,0.180239
363.7,158,105.46,4.18,153.82,101.28,0.181489,0.181489
364.2,158.48,106.04,4.42,154.06,101.62,0.180711,0.180711
364.7,158.36,106.14,4.38,153.98,101.76,0.179887,0.179887
365.2,158.34,105.8,4.44,153.9,101.36,0.181372,0.181372
365.8,158.42,105.22,4,154.42,101.22,0.183437,0.183437
366.3,159.32,105.68,4.36,154.96,101.32,0.184524,0.184524
366.8,159.42,105.88,4.28,155.14,101.6,0.18383,0.18383
367.3,159.04,105.6,4.58,154.46,101.02,0.184409,0.184409
367.9,158.72,105.34,4.2,154.52,101.14,0.184062,0.184062
368.4,159.44,105.9,4.3,155.14,101.6,0.18383,0.18383
368.9,159.82,106.08,4.5,155.32,101.58,0.184419,0.184419
369.5,159.54,105.88,4.7,154.84,101.18,0.184788,0.184788
370,159.12,105.52,4.44,154.68,101.08,0.184769,0.184769
370.5,159.92,105.8,4.58,155.34,101.22,0.186017,0.186017
371,159.78,105.24,4.64,155.14,100.6,0.188126,0.188126
371.6,159.5,105.34,4.56,154.94,100.78,0.186789,0.186789
372.1,159.28,105,4.32,154.96,100.68,0.187276,0.187276
372.6,159.84,105.16,4.44,155.4,100.72,0.188335,0.188335
373.1,160.04,104.9,4.8,155.24,100.1,0.19057,0.19057
373.7,159.7,104.44,4.82,154.88,99.62,0.191649,0.191649
374.2,159.22,103.36,4.32,154.9,99.04,0.194241,0.194241
374.7,159.9,103.36,4.4,155.5,98.96,0.196271,0.196271
375.3,160.16,103.5,4.52,155.64,98.98,0.196574,0.196574
375.8,159.76,103.44,4.64,155.12,98.8,0.195911,0.195911
376.3,159.46,102.66,4.48,154.98,98.18,0.198253,0.198253
376.8,160.32,102.92,4.72,155.6,98.2,0.199898,0.199898
377.4,160.9,103.32,4.96,155.94,98.36,0.200139,0.200139
377.9,160.16,102.44,4.9,155.26,97.54,0.201877,0.201877
378.4,159.8,101.5,4.5,155.3,97,0.2044,0.2044
378.9,160.38,101.92,4.72,155.66,97.2,0.204511,0.204511
379.5,160.72,101.8,4.66,156.06,97.14,0.205894,0.205894
380,160.44,101.38,4.56,155.88,96.82,0.206825,0.206825
380.5,159.56,100.42,4.16,155.4,96.26,0.208005,0.208005
381.1,160,100.84,4.36,155.64,96.48,0.207684,0.207684
381.6,160.06,100.1,4.18,155.88,95.92,0.210881,0.210881
382.1,159.7,99.58,4.24,155.46,95.34,0.212344,0.212344
382.6,159.28,98.92,3.9,155.38,95.02,0.21358,0.21358
383.2,159.74,99.28,4.1,155.64,95.18,0.213576,0.213576
383.7,159.92,99.26,4.1,155.82,95.16,0.214169,0.214169
384.2,159.58,98.74,4.26,155.32,94.48,0.215887,0.215887
384.7,158.92,97.76,4.02,154.9,93.74,0.218126,0.218126
385.3,159.22,97.54,4.24,154.98,93.3,0.220394,0.220394
385.8,159.1,97.32,4.38,154.72,92.94,0.221344,0.221344
386.3,158.58,96.74,4.44,154.14,92.3,0.222714,0.222714
386.9,158.1,95.86,4.3,153.8,91.56,0.225251,0.225251
