Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
340.5,145.1,103.06,4.86,140.24,98.2,0.15476,0.15476
341,145.8,103.2,5,140.8,98.2,0.156491,0.156491
341.5,146.14,103.28,4.86,141.28,98.42,0.156997,0.156997
342,146.72,103.56,4.9,141.82,98.66,0.157596,0.157596
342.6,146.44,103.2,4.54,141.9,98.66,0.157841,0.157841
343.1,147.3,103.78,4.7,142.6,99.08,0.158134,0.158134
343.6,147.52,104.34,4.7,142.82,99.64,0.156355,0.156355
344.2,147.64,104.38,4.76,142.88,99.62,0.156625,0.156625
344.7,147.78,103.86,4.16,143.62,99.7,0.15852,0.15852
345.2,148.76,104.72,4.56,144.2,100.16,0.158271,0.158271
345.7,149.54,105.5,4.74,144.8,100.76,0.15748,0.15748
346.3,149.46,105.5,4.82,144.64,100.68,0.157345,0.157345
346.8,149.28,105.12,4.4,144.88,100.72,0.157893,0.157893
347.3,149.82,105.42,4.64,145.18,100.78,0.158532,0.158532
347.8,150.62,106,4.9,145.72,101.1,0.158768,0.158768
348.4,150.76,106.22,4.9,145.86,101.32,0.158241,0.158241
348.9,150.88,106.42,4.68,146.2,101.74,0.157456,0.157456
349.4,151.74,107.1,4.86,146.88,102.24,0.157342,0.157342
350,152.26,107.24,4.98,147.28,102.26,0.158438,0.158438
350.5,152.78,107.32,5.14,147.64,102.18,0.159838,0.159838
351,152.62,107.04,4.76,147.86,102.28,0.16006,0.16006
351.5,153.38,107.84,4.9,148.48,102.94,0.159084,0.159084
352.1,153.98,108.54,5.1,148.88,103.44,0.158148,0.158148
352.6,153.86,108.3,5,148.86,103.3,0.158678,0.158678
353.1,154.14,107.9,4.66,149.48,103.24,0.160735,0.160735
353.6,154.88,108.5,4.82,150.06,103.68,0.16057,0.16057
354.2,154.8,108.64,4.7,150.1,103.94,0.159598,0.159598
354.7,154.9,108.36,4.56,150.34,103.8,0.160877,0.160877
355.2,154.58,108.26,4.04,150.54,104.22,0.159701,0.159701
355.7,155.64,109.16,4.48,151.16,104.68,0.159573,0.159573
