Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
340.5,145.1,68.82,4.86,140.24,63.96,0.340963,0.340963
341,145.8,69.08,5,140.8,64.08,0.34188,0.34188
341.5,146.14,68.82,4.86,141.28,63.96,0.344172,0.344172
342,146.72,68.84,4.9,141.82,63.94,0.345965,0.345965
342.6,146.44,68.46,4.54,141.9,63.92,0.346346,0.346346
343.1,147.3,69.26,4.7,142.6,64.56,0.344156,0.344156
343.6,147.52,69.42,4.7,142.82,64.72,0.343751,0.343751
344.2,147.64,69.04,4.76,142.88,64.28,0.346896,0.346896
344.7,147.78,68.68,4.16,143.62,64.52,0.347521,0.347521
345.2,148.76,69.9,4.56,144.2,65.34,0.343786,0.343786
345.7,149.54,70.22,4.74,144.8,65.48,0.34466,0.34466
346.3,149.46,70.34,4.82,144.64,65.52,0.343915,0.343915
346.8,149.28,69.56,4.4,144.88,65.16,0.347027,0.347027
347.3,149.82,69.92,4.64,145.18,65.28,0.347127,0.347127
347.8,150.62,70.22,4.9,145.72,65.32,0.348473,0.348473
348.4,150.76,70.2,4.9,145.86,65.3,0.349023,0.349023
348.9,150.88,70,4.68,146.2,65.32,0.349901,0.349901
349.4,151.74,70.58,4.86,146.88,65.72,0.349265,0.349265
350,152.26,70.6,4.98,147.28,65.62,0.351108,0.351108
350.5,152.78,70.86,5.14,147.64,65.72,0.351506,0.351506
351,152.62,70.76,4.76,147.86,66,0.350307,0.350307
351.5,153.38,71.24,4.9,148.48,66.34,0.349892,0.349892
352.1,153.98,71.18,5.1,148.88,66.08,0.352766,0.352766
352.6,153.86,71.14,5,148.86,66.14,0.352314,0.352314
353.1,154.14,71,4.66,149.48,66.34,0.352808,0.352808
353.6,154.88,71.66,4.82,150.06,66.84,0.351229,0.351229
354.2,154.8,71.28,4.7,150.1,66.58,0.353037,0.353037
354.7,154.9,71.48,4.56,150.34,66.92,0.351519,0.351519
355.2,154.58,70.7,4.04,150.54,66.66,0.353787,0.353787
355.7,155.64,71.72,4.48,151.16,67.24,0.351809,0.351809
356.3,156.02,71.78,4.68,151.34,67.1,0.353231,0.353231
356.8,155.92,71.44,4.66,151.26,66.78,0.355078,0.355078
357.3,155.7,70.72,4.32,151.38,66.4,0.3579,0.3579
357.9,156.72,71.28,4.62,152.1,66.66,0.358264,0.358264
358.4,156.88,71.26,4.66,152.22,66.6,0.358997,0.358997
358.9,156.76,71.46,4.62,152.14,66.84,0.357207,0.357207
359.4,156.36,70.94,4.28,152.08,66.66,0.358207,0.358207
360,157.16,71.06,4.46,152.7,66.6,0.360365,0.360365
360.5,157.42,71.36,4.42,153,66.94,0.359006,0.359006
361,157.72,71.44,4.5,153.22,66.94,0.35963,0.35963
361.5,157.52,71.06,4.16,153.36,66.9,0.360286,0.360286
362.1,158.06,71.64,4.42,153.64,67.22,0.359006,0.359006
362.6,158.08,71.68,4.42,153.66,67.26,0.358804,0.358804
363.1,158.18,71.9,4.56,153.62,67.34,0.358175,0.358175
363.7,158,71.16,4.18,153.82,66.98,0.361068,0.361068
364.2,158.48,71.5,4.42,154.06,67.08,0.361097,0.361097
364.7,158.36,71.46,4.38,153.98,67.08,0.360871,0.360871
365.2,158.34,71.32,4.44,153.9,66.88,0.361942,0.361942
365.8,158.42,70.58,4,154.42,66.58,0.36536,0.36536
366.3,159.32,71.1,4.36,154.96,66.74,0.365833,0.365833
366.8,159.42,71.34,4.28,155.14,67.06,0.36426,0.36426
367.3,159.04,71.42,4.58,154.46,66.84,0.36378,0.36378
367.9,158.72,70.6,4.2,154.52,66.4,0.366817,0.366817
368.4,159.44,70.66,4.3,155.14,66.36,0.368817,0.368817
368.9,159.82,70.72,4.5,155.32,66.22,0.370238,0.370238
369.5,159.54,70.88,4.7,154.84,66.18,0.369156,0.369156
370,159.12,70.14,4.44,154.68,65.7,0.371869,0.371869
