Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
340.5,145.1,80.94,4.86,140.24,76.08,0.265601,0.265601
341,145.8,81.08,5,140.8,76.08,0.267332,0.267332
341.5,146.14,81.3,4.86,141.28,76.44,0.26676,0.26676
342,146.72,81.38,4.9,141.82,76.48,0.26819,0.26819
342.6,146.44,80.66,4.54,141.9,76.12,0.270484,0.270484
343.1,147.3,81.24,4.7,142.6,76.54,0.270231,0.270231
343.6,147.52,81.34,4.7,142.82,76.64,0.270334,0.270334
344.2,147.64,81.3,4.76,142.88,76.54,0.271083,0.271083
344.7,147.78,80.7,4.16,143.62,76.54,0.273326,0.273326
345.2,148.76,81.66,4.56,144.2,77.1,0.271911,0.271911
345.7,149.54,82.08,4.74,144.8,77.34,0.272364,0.272364
346.3,149.46,81.86,4.82,144.64,77.04,0.273572,0.273572
346.8,149.28,81.4,4.4,144.88,77,0.274518,0.274518
347.3,149.82,82.02,4.64,145.18,77.38,0.273278,0.273278
347.8,150.62,82.32,4.9,145.72,77.42,0.274666,0.274666
348.4,150.76,82.44,4.9,145.86,77.54,0.27441,0.27441
348.9,150.88,82.16,4.68,146.2,77.48,0.275758,0.275758
349.4,151.74,82.82,4.86,146.88,77.96,0.275091,0.275091
350,152.26,83.14,4.98,147.28,78.16,0.275159,0.275159
350.5,152.78,83.38,5.14,147.64,78.24,0.275775,0.275775
351,152.62,82.94,4.76,147.86,78.18,0.276755,0.276755
351.5,153.38,83.46,4.9,148.48,78.56,0.276466,0.276466
352.1,153.98,84.02,5.1,148.88,78.92,0.275649,0.275649
352.6,153.86,83.86,5,148.86,78.86,0.275921,0.275921
353.1,154.14,83.76,4.66,149.48,79.1,0.276407,0.276407
353.6,154.88,83.8,4.82,150.06,78.98,0.278748,0.278748
354.2,154.8,83.8,4.7,150.1,79.1,0.278204,0.278204
354.7,154.9,83.98,4.56,150.34,79.42,0.277145,0.277145
355.2,154.58,83.42,4.04,150.54,79.38,0.277941,0.277941
355.7,155.64,84.02,4.48,151.16,79.54,0.278851,0.278851
356.3,156.02,84.24,4.68,151.34,79.56,0.279259,0.279259
356.8,155.92,83.94,4.66,151.26,79.28,0.28056,0.28056
357.3,155.7,83.3,4.32,151.38,78.98,0.282551,0.282551
357.9,156.72,83.84,4.62,152.1,79.22,0.283294,0.283294
358.4,156.88,84.1,4.66,152.22,79.44,0.282432,0.282432
358.9,156.76,83.96,4.62,152.14,79.34,0.282751,0.282751
359.4,156.36,83.12,4.28,152.08,78.84,0.285325,0.285325
360,157.16,83.54,4.46,152.7,79.08,0.285772,0.285772
360.5,157.42,83.56,4.42,153,79.14,0.286295,0.286295
361,157.72,83.62,4.5,153.22,79.12,0.287029,0.287029
361.5,157.52,82.9,4.16,153.36,78.74,0.289517,0.289517
362.1,158.06,83.38,4.42,153.64,78.96,0.289097,0.289097
362.6,158.08,83.4,4.42,153.66,78.98,0.289044,0.289044
363.1,158.18,83.52,4.56,153.62,78.96,0.289041,0.289041
363.7,158,82.66,4.18,153.82,78.48,0.292254,0.292254
364.2,158.48,83.06,4.42,154.06,78.64,0.292046,0.292046
364.7,158.36,83.08,4.38,153.98,78.7,0.29149,0.29149
365.2,158.34,82.88,4.44,153.9,78.44,0.292701,0.292701
365.8,158.42,82.06,4,154.42,78.06,0.296275,0.296275
366.3,159.32,82.34,4.36,154.96,77.98,0.298236,0.298236
366.8,159.42,82.5,4.28,155.14,78.22,0.297406,0.297406
367.3,159.04,82.8,4.58,154.46,78.22,0.295498,0.295498
367.9,158.72,82.12,4.2,154.52,77.92,0.297336,0.297336
368.4,159.44,82.1,4.3,155.14,77.8,0.299744,0.299744
368.9,159.82,82.18,4.5,155.32,77.68,0.300918,0.300918
369.5,159.54,82.3,4.7,154.84,77.6,0.300021,0.300021
