Nanometers,Reference_Counts,Sample_Counts,Dark_Counts,Reference_Corrected,Sample_Corrected,Absorbance,Absorbance_per_cm
340.5,145.1,111.68,4.86,140.24,106.82,0.118219,0.118219
341,145.8,112.5,5,140.8,107.5,0.117194,0.117194
341.5,146.14,112.36,4.86,141.28,107.5,0.118672,0.118672
342,146.72,112.3,4.9,141.82,107.4,0.120733,0.120733
342.6,146.44,112.14,4.54,141.9,107.6,0.12017,0.12017
343.1,147.3,113.12,4.7,142.6,108.42,0.11901,0.11901
343.6,147.52,113.46,4.7,142.82,108.76,0.11832,0.11832
344.2,147.64,113.64,4.76,142.88,108.88,0.118023,0.118023
344.7,147.78,113.3,4.16,143.62,109.14,0.119231,0.119231
345.2,148.76,114.1,4.56,144.2,109.54,0.119393,0.119393
345.7,149.54,114.72,4.74,144.8,109.98,0.119455,0.119455
346.3,149.46,114.78,4.82,144.64,109.96,0.119054,0.119054
346.8,149.28,114.54,4.4,144.88,110.14,0.119063,0.119063
347.3,149.82,115.3,4.64,145.18,110.66,0.117916,0.117916
347.8,150.62,116.26,4.9,145.72,111.36,0.11679,0.11679
348.4,150.76,115.86,4.9,145.86,110.96,0.11877,0.11877
348.9,150.88,115.46,4.68,146.2,110.78,0.120486,0.120486
349.4,151.74,116.6,4.86,146.88,111.74,0.118754,0.118754
350,152.26,117.32,4.98,147.28,112.34,0.117609,0.117609
350.5,152.78,117.2,5.14,147.64,112.06,0.119753,0.119753
351,152.62,116.74,4.76,147.86,111.98,0.12071,0.12071
351.5,153.38,117.56,4.9,148.48,112.66,0.119898,0.119898
352.1,153.98,117.96,5.1,148.88,112.86,0.120296,0.120296
352.6,153.86,117.64,5,148.86,112.64,0.121085,0.121085
353.1,154.14,117.24,4.66,149.48,112.58,0.123122,0.123122
353.6,154.88,117.74,4.82,150.06,112.92,0.123494,0.123494
354.2,154.8,118.36,4.7,150.1,113.66,0.120773,0.120773
354.7,154.9,118.14,4.56,150.34,113.58,0.121773,0.121773
355.2,154.58,117.58,4.04,150.54,113.54,0.122503,0.122503
355.7,155.64,118.76,4.48,151.16,114.28,0.121467,0.121467
356.3,156.02,119.28,4.68,151.34,114.6,0.120769,0.120769
356.8,155.92,118.8,4.66,151.26,114.14,0.122286,0.122286
357.3,155.7,118.48,4.32,151.38,114.16,0.122555,0.122555
357.9,156.72,119.42,4.62,152.1,114.8,0.122187,0.122187
358.4,156.88,119.64,4.66,152.22,114.98,0.121849,0.121849
358.9,156.76,119.3,4.62,152.14,114.68,0.122756,0.122756
359.4,156.36,119.02,4.28,152.08,114.74,0.122357,0.122357
360,157.16,119.66,4.46,152.7,115.2,0.122387,0.122387
360.5,157.42,119.92,4.42,153,115.5,0.122109,0.122109
361,157.72,119.54,4.5,153.22,115.04,0.124467,0.124467
361.5,157.52,119.44,4.16,153.36,115.28,0.123958,0.123958
362.1,158.06,120.04,4.42,153.64,115.62,0.123471,0.123471
362.6,158.08,120.34,4.42,153.66,115.92,0.122402,0.122402
363.1,158.18,120.04,4.56,153.62,115.48,0.123941,0.123941
363.7,158,119.5,4.18,153.82,115.32,0.125108,0.125108
364.2,158.48,119.9,4.42,154.06,115.48,0.125183,0.125183
364.7,158.36,120.28,4.38,153.98,115.9,0.123381,0.123381
365.2,158.34,119.68,4.44,153.9,115.24,0.125635,0.125635
365.8,158.42,119.2,4,154.42,115.2,0.127251,0.127251
366.3,159.32,120.08,4.36,154.96,115.72,0.126811,0.126811
366.8,159.42,119.94,4.28,155.14,115.66,0.127541,0.127541
367.3,159.04,119.56,4.58,154.46,114.98,0.128194,0.128194
367.9,158.72,119.16,4.2,154.52,114.96,0.128438,0.128438
