Spectrum,Wavelength (nm),Intensity
spectrum-20251105-165931.csv,380.21,0.010113
spectrum-20251105-165931.csv,382.26,0.009891
spectrum-20251105-165931.csv,386.35,0.008706
spectrum-20251105-165931.csv,388.39,0.008335
spectrum-20251105-165931.csv,390.94,0.007039
spectrum-20251105-165931.csv,398.59,0.007002
spectrum-20251105-165931.csv,401.13,0.015189
spectrum-20251105-165931.csv,405.72,0.392087
spectrum-20251105-165931.csv,408.78,0.031785
spectrum-20251105-165931.csv,410.82,0.011151
spectrum-20251105-165931.csv,413.88,0.005964
spectrum-20251105-165931.csv,414.90,0.005890
spectrum-20251105-165931.csv,416.43,0.006187
spectrum-20251105-165931.csv,418.98,0.004668
spectrum-20251105-165931.csv,422.05,0.004038
spectrum-20251105-165931.csv,423.58,0.004408
spectrum-20251105-165931.csv,427.17,0.005705
spectrum-20251105-165931.csv,436.41,1.000000
spectrum-20251105-165931.csv,438.47,0.032081
spectrum-20251105-165931.csv,439.50,0.017745
spectrum-20251105-165931.csv,445.69,0.008557
spectrum-20251105-165931.csv,448.80,0.005260
spectrum-20251105-165931.csv,451.39,0.005149
spectrum-20251105-165931.csv,456.06,0.004482
spectrum-20251105-165931.csv,459.18,0.004594
spectrum-20251105-165931.csv,464.92,0.005186
spectrum-20251105-165931.csv,467.01,0.005372
spectrum-20251105-165931.csv,468.05,0.005409
spectrum-20251105-165931.csv,486.98,0.250500
spectrum-20251105-165931.csv,511.42,0.010410
spectrum-20251105-165931.csv,515.16,0.009743
spectrum-20251105-165931.csv,516.23,0.009224
spectrum-20251105-165931.csv,519.44,0.008335
spectrum-20251105-165931.csv,523.73,0.008669
spectrum-20251105-165931.csv,525.34,0.008743
spectrum-20251105-165931.csv,533.92,0.058013
spectrum-20251105-165931.csv,541.98,0.668630
spectrum-20251105-165931.csv,544.67,0.533044
spectrum-20251105-165931.csv,546.28,0.737423
spectrum-20251105-165931.csv,548.43,0.460695
spectrum-20251105-165931.csv,567.26,0.019486
spectrum-20251105-165931.csv,577.47,0.321182
spectrum-20251105-165931.csv,579.61,0.271245
spectrum-20251105-165931.csv,583.90,0.218752
spectrum-20251105-165931.csv,588.19,0.412499
spectrum-20251105-165931.csv,593.54,0.343743
spectrum-20251105-165931.csv,596.75,0.135845
spectrum-20251105-165931.csv,599.95,0.236238
spectrum-20251105-165931.csv,611.67,0.941135
spectrum-20251105-165931.csv,614.32,0.656590
spectrum-20251105-165931.csv,627.03,0.243017
spectrum-20251105-165931.csv,631.25,0.457694
spectrum-20251105-165931.csv,643.34,0.033118
spectrum-20251105-165931.csv,648.05,0.041676
spectrum-20251105-165931.csv,650.15,0.139253
spectrum-20251105-165931.csv,652.24,0.058643
spectrum-20251105-165931.csv,657.45,0.035934
spectrum-20251105-165931.csv,662.14,0.066719
spectrum-20251105-165931.csv,668.90,0.017856
spectrum-20251105-165931.csv,673.05,0.012929
spectrum-20251105-165931.csv,677.20,0.012707
spectrum-20251105-165931.csv,686.51,0.046566
spectrum-20251105-165931.csv,689.10,0.018337
spectrum-20251105-165931.csv,692.21,0.034711
spectrum-20251105-165931.csv,694.79,0.011743
spectrum-20251105-165931.csv,704.63,0.139587
spectrum-20251105-165931.csv,706.70,0.171853
spectrum-20251105-165931.csv,709.82,0.145180
spectrum-20251105-165931.csv,717.10,0.002445
spectrum-20251105-165931.csv,718.66,0.002000
spectrum-20251105-165931.csv,719.70,0.002223
spectrum-20251105-165931.csv,720.75,0.002149
spectrum-20251105-165931.csv,722.31,0.002593
spectrum-20251105-165931.csv,725.45,0.003223
spectrum-20251105-165931.csv,727.03,0.003297
spectrum-20251105-165931.csv,730.71,0.002852
spectrum-20251105-165931.csv,732.29,0.002519
spectrum-20251105-165931.csv,735.46,0.006001
spectrum-20251105-165931.csv,737.57,0.003038
spectrum-20251105-165931.csv,739.70,0.003927
spectrum-20251105-165931.csv,743.97,0.003075
spectrum-20251105-165931.csv,747.72,0.006816
spectrum-20251105-165931.csv,752.58,0.001556
spectrum-20251105-165931.csv,760.77,0.066274
spectrum-20251105-165931.csv,762.98,0.007335
spectrum-20251105-165931.csv,764.64,0.003297
spectrum-20251105-165931.csv,766.86,0.002075
spectrum-20251105-165931.csv,769.66,0.007594
spectrum-20251105-165931.csv,781.02,0.003038
spectrum-20251105-165931.csv,794.54,0.009150
spectrum-20251105-165931.csv,797.54,0.005816
spectrum-20251105-165931.csv,801.19,0.011188
spectrum-20251105-165931.csv,807.99,0.014929
spectrum-20251105-165931.csv,810.51,0.044195
spectrum-20251105-165931.csv,813.68,0.064014
spectrum-20251105-165931.csv,816.24,0.010521
spectrum-20251105-165931.csv,822.08,0.005260
spectrum-20251105-165931.csv,823.40,0.005409
spectrum-20251105-165931.csv,824.72,0.005483
spectrum-20251105-165931.csv,828.73,0.006742
spectrum-20251105-165931.csv,832.11,0.008928
