Wavelength,Intensity
459.70,1.14
460.22,1.08
460.74,1.05
461.26,1.00
461.78,0.99
462.31,1.01
462.83,1.03
463.35,1.14
463.87,1.23
464.39,1.39
464.92,1.40
465.44,1.27
465.96,1.28
466.48,1.30
467.01,1.45
467.53,1.44
468.05,1.46
468.58,1.41
469.10,1.24
469.62,1.11
470.15,1.10
470.67,1.14
471.19,1.30
471.72,1.38
472.24,1.47
472.77,1.48
473.29,1.51
473.82,1.59
474.34,1.81
474.87,1.92
475.39,2.11
475.92,2.29
476.44,2.44
476.97,2.56
477.49,2.75
478.02,3.12
478.55,3.68
479.07,4.35
479.60,5.06
480.13,5.94
480.65,7.07
481.18,8.42
481.71,11.04
482.23,14.42
482.76,20.24
483.29,26.53
483.82,35.24
484.34,41.85
484.87,49.00
485.40,56.96
485.93,63.86
486.46,67.37
486.98,67.62
487.51,66.35
488.04,64.97
488.57,62.20
489.10,57.69
489.63,53.82
490.16,50.55
490.69,48.89
491.22,48.14
491.75,48.11
492.28,45.05
492.80,42.09
493.33,39.01
493.87,36.49
494.40,34.31
494.93,32.12
495.46,29.25
495.99,27.02
496.52,25.01
497.05,23.22
497.58,21.65
498.11,19.78
498.64,17.88
499.17,16.25
499.70,14.54
500.24,13.04
500.77,11.67
501.30,10.16
501.83,8.90
502.36,8.18
502.90,7.32
503.43,6.48
503.96,5.67
504.49,4.99
505.03,4.49
505.56,4.07
506.09,3.82
506.62,3.71
507.16,3.28
507.69,3.17
508.22,3.10
508.76,2.95
509.29,2.80
509.82,2.70
510.36,2.67
510.89,2.75
511.42,2.81
511.96,2.66
512.49,2.59
513.03,2.53
513.56,2.51
514.10,2.55
514.63,2.57
515.16,2.63
515.70,2.46
516.23,2.49
516.77,2.43
517.30,2.33
517.84,2.21
518.37,2.16
518.91,2.18
519.44,2.25
519.98,2.24
520.51,2.19
521.05,2.19
521.59,2.14
522.12,2.12
522.66,2.19
523.19,2.30
523.73,2.34
524.26,2.19
524.80,2.27
525.34,2.36
525.87,2.32
526.41,2.36
526.94,2.58
527.48,2.91
528.02,3.23
528.55,3.43
529.09,3.56
529.63,3.77
530.16,4.28
530.70,4.91
531.24,5.65
531.77,5.99
532.31,6.61
532.85,9.67
533.38,14.18
533.92,15.66
534.46,14.06
535.00,13.49
535.53,13.80
536.07,15.77
536.61,20.21
537.14,29.39
537.68,43.04
538.22,52.00
538.76,56.74
539.29,62.61
539.83,79.37
540.37,102.53
540.91,126.11
541.44,153.47
541.98,180.49
542.52,159.60
543.06,143.83
543.59,141.16
544.13,143.64
544.67,143.89
545.21,135.09
545.74,154.77
546.28,199.06
546.82,189.44
547.36,134.04
547.90,119.66
548.43,124.36
548.97,114.44
549.51,104.87
550.05,96.21
550.59,87.90
551.12,77.41
551.66,66.57
552.20,58.83
552.74,52.47
553.27,45.56
553.81,39.70
554.35,33.43
554.89,28.29
555.43,22.54
555.96,18.28
556.50,15.68
557.04,14.15
557.58,12.82
558.12,11.56
558.65,10.37
559.19,9.77
559.73,8.98
560.27,8.27
560.81,7.75
561.34,7.44
561.88,7.23
562.42,7.06
562.96,6.93
563.49,6.56
564.03,6.17
564.57,5.79
565.11,5.51
565.65,5.35
566.18,5.27
566.72,5.22
567.26,5.26
567.80,5.09
568.33,4.99
568.87,4.99
569.41,4.99
569.95,4.76
570.48,4.41
571.02,4.15
571.56,4.17
572.10,4.17
572.63,4.33
573.17,4.60
573.71,4.90
574.24,5.10
574.78,5.31
575.32,5.92
575.86,7.06
576.39,10.06
576.93,41.65
577.47,86.70
578.00,50.93
578.54,25.68
579.08,48.33
579.61,73.22
580.15,56.40
580.69,52.14
581.22,50.55
581.76,48.26
582.29,49.59
582.83,54.54
583.37,57.43
583.90,59.05
584.44,58.82
584.98,58.33
585.51,58.15
586.05,56.74
586.58,56.64
587.12,69.15
587.65,103.04
588.19,111.35
588.73,71.50
589.26,45.00
589.80,42.36
590.33,42.25
590.87,43.00
591.40,45.24
591.94,50.72
592.47,60.36
593.01,78.33
593.54,92.79
594.08,88.38
594.61,65.34
595.14,45.10
595.68,37.71
596.21,36.53
596.75,36.67
597.28,36.45
597.82,37.07
598.35,38.50
598.88,46.82
599.42,57.19
599.95,63.77
600.49,61.14
601.02,52.35
601.55,41.43
602.09,32.04
602.62,27.19
603.15,26.22
603.68,26.58
604.22,27.23
604.75,28.22
605.28,29.06
605.82,30.58
606.35,32.76
606.88,37.58
607.41,43.84
607.95,51.75
608.48,62.09
609.01,80.15
609.54,83.22
610.07,118.56
610.60,180.96
611.14,242.01
611.67,254.05
612.20,248.98
612.73,225.12
613.26,186.13
613.79,175.03
614.32,177.24
614.85,170.85
615.39,158.90
615.92,136.03
616.45,106.82
616.98,85.00
617.51,72.20
618.04,62.61
618.57,56.98
619.10,54.12
619.63,53.07
620.16,53.94
620.69,55.12
621.22,55.53
621.74,56.35
622.27,56.92
622.80,58.88
623.33,61.00
623.86,63.04
624.39,63.71
624.92,64.22
625.45,64.87
625.97,65.50
626.50,65.58
627.03,65.60
627.56,65.03
628.09,64.38
628.61,63.55
629.14,64.04
629.67,66.86
630.20,81.63
630.72,105.23
631.25,123.55
631.78,96.97
632.30,54.88
632.83,28.23
633.36,23.63
633.88,18.48
634.41,16.06
634.94,14.51
635.46,13.69
635.99,12.69
636.52,11.74
637.04,10.97
637.57,10.29
638.09,9.75
638.62,9.20
639.14,8.95
639.67,8.84
640.19,8.76
640.72,8.63
641.24,8.52
641.77,8.57
642.29,8.64
642.82,8.79
643.34,8.94
643.87,8.87
644.39,8.87
644.91,9.03
645.44,9.35
645.96,9.70
646.48,10.09
647.01,10.45
647.53,10.75
648.05,11.25
648.58,11.17
649.10,16.44
649.62,27.58
650.15,37.59
650.67,33.46
651.19,22.15
651.71,15.71
652.24,15.83
652.76,15.66
653.28,14.38
653.80,12.25
654.33,10.87
654.85,10.17
655.37,9.77
655.89,9.43
656.41,9.24
656.93,9.52
657.45,9.70
657.98,9.42
658.50,8.89
659.02,8.36
659.54,8.08
660.06,8.07
660.58,8.58
661.10,13.05
661.62,17.84
662.14,18.01
662.66,13.92
663.18,10.35
663.70,8.31
664.22,6.97
664.74,6.50
665.26,6.11
665.78,5.74
666.30,5.55
666.82,5.36
667.34,5.08
667.86,4.85
668.38,4.77
668.90,4.82
669.42,4.57
669.94,4.46
670.46,4.39
670.97,4.24
671.49,3.90
672.01,3.65
672.53,3.46
673.05,3.49
673.57,3.41
674.09,3.41
674.60,3.36
675.12,3.22
675.64,3.10
676.16,3.14
676.68,3.29
677.20,3.43
677.71,3.38
678.23,3.47
678.75,3.65
679.27,3.73
679.79,3.85
680.30,3.96
680.82,4.11
681.34,4.22
681.86,4.43
682.37,4.59
682.89,5.08
683.41,5.70
683.93,6.29
684.44,7.14
684.96,8.66
685.48,11.51
686.00,12.52
686.51,12.57
687.03,10.34
687.55,7.26
688.07,5.37
688.58,4.87
689.10,4.95
689.62,4.47
690.14,3.85
690.65,3.96
691.17,5.84
691.69,8.77
692.21,9.37
692.72,6.43
693.24,3.23
693.76,2.74
694.27,3.08
694.79,3.17
695.31,2.44
695.83,1.67
696.34,1.35
696.86,1.33
697.38,1.42
697.90,1.46
698.41,1.78
698.93,2.25
699.45,2.76
699.97,3.33
700.49,4.03
701.00,4.85
701.52,5.77
702.04,7.01
702.56,8.96
703.07,11.98
703.59,18.73
704.11,29.55
704.63,37.68
705.15,34.97
705.67,30.49
706.18,34.78
706.70,46.39
707.22,39.62
707.74,18.71
708.26,11.65
708.78,15.64
709.30,26.83
709.82,39.19
710.33,35.78
710.85,19.09
711.37,7.01
711.89,3.00
712.41,1.90
712.93,1.75
713.45,1.61
713.97,1.28
714.49,0.95
715.01,0.75
715.53,0.61
716.05,0.58
716.57,0.60
717.10,0.66
717.62,0.56
718.14,0.53
718.66,0.54
719.18,0.53
719.70,0.60
720.22,0.56
720.75,0.58
721.27,0.54
721.79,0.60
722.31,0.70
722.84,0.65
723.36,0.62
723.88,0.73
724.41,0.78
724.93,0.85
725.45,0.87
725.98,0.81
726.50,0.87
727.03,0.89
727.55,0.74
728.08,0.71
728.60,0.67
729.13,0.60
729.65,0.63
730.18,0.74
730.71,0.77
731.23,0.63
731.76,0.67
732.29,0.68
732.81,0.64
733.34,0.74
733.87,0.92
734.40,1.19
734.93,1.39
735.46,1.62
735.98,1.21
736.51,0.92
737.04,0.77
737.57,0.82
